Name           Surname        HW1            HW2            HW3            HW4            HW5            HW6            Exam           
Name2099       Surname2099    9              8              1              2              4              10             6              
Name2100       Surname2100    0              7              1              1              10             7              10             
Name2101       Surname2101    4              1              2              9              10             3              8              
Name2102       Surname2102    10             10             9              4              4              3              6              
Name2103       Surname2103    9              10             10             1              3              4              3              
Name2104       Surname2104    6              1              8              4              7              5              5              
Name2105       Surname2105    10             3              5              9              1              5              0              
Name2106       Surname2106    9              0              2              8              7              2              10             
Name2107       Surname2107    0              2              5              10             2              5              2              
Name2108       Surname2108    2              3              5              3              8              4              7              
Name2109       Surname2109    9              4              3              9              8              7              1              
Name2110       Surname2110    3              9              2              10             4              5              7              
Name2111       Surname2111    5              9              1              9              5              4              10             
Name2112       Surname2112    6              2              8              7              0              4              0              
Name2113       Surname2113    2              3              2              10             2              0              1              
Name2114       Surname2114    5              9              10             7              10             0              3              
Name2115       Surname2115    7              3              8              4              6              5              7              
Name2116       Surname2116    4              10             10             9              5              5              7              
Name2117       Surname2117    6              0              3              6              5              7              5              
Name2118       Surname2118    2              3              1              9              10             10             8              
Name2119       Surname2119    4              0              4              3              5              3              5              
Name2120       Surname2120    10             5              7              10             0              9              6              
Name2121       Surname2121    5              7              8              6              9              5              1              
Name2122       Surname2122    10             2              4              5              4              3              4              
Name2123       Surname2123    9              2              3              0              5              8              7              
Name2124       Surname2124    3              6              10             7              6              7              1              
Name2125       Surname2125    9              7              7              9              0              3              1              
Name2126       Surname2126    7              10             9              10             4              6              2              
Name2127       Surname2127    8              7              0              8              6              4              6              
Name2128       Surname2128    6              10             9              3              2              7              4              
Name2129       Surname2129    3              10             4              7              5              2              6              
Name2130       Surname2130    4              7              7              9              1              7              5              
Name2131       Surname2131    1              3              8              9              10             7              5              
Name2132       Surname2132    0              9              5              9              8              6              5              
Name2133       Surname2133    9              0              2              0              5              3              7              
Name2134       Surname2134    7              6              5              2              1              3              0              
Name2135       Surname2135    7              0              0              3              6              7              0              
Name2136       Surname2136    10             2              3              7              2              4              10             
Name2137       Surname2137    9              2              4              10             10             10             6              
Name2138       Surname2138    8              6              7              6              7              3              9              
Name2139       Surname2139    2              5              6              9              10             0              2              
Name2140       Surname2140    8              7              7              2              9              5              10             
Name2141       Surname2141    3              6              6              4              7              6              8              
Name2142       Surname2142    0              10             3              7              7              10             4              
Name2143       Surname2143    3              8              1              2              10             3              10             
Name2144       Surname2144    6              9              0              1              9              10             9              
Name2145       Surname2145    8              3              2              2              3              3              5              
Name2146       Surname2146    4              9              10             4              10             5              5              
Name2147       Surname2147    2              2              1              7              4              0              3              
Name2148       Surname2148    9              2              5              0              10             5              4              
Name2149       Surname2149    7              5              3              1              2              7              9              
Name2150       Surname2150    1              6              6              1              0              4              9              
Name2151       Surname2151    8              10             9              8              4              2              10             
Name2152       Surname2152    1              6              3              4              2              8              7              
Name2153       Surname2153    3              5              3              6              8              5              6              
Name2154       Surname2154    9              0              9              4              10             7              10             
Name2155       Surname2155    9              5              9              5              1              9              5              
Name2156       Surname2156    9              5              0              10             1              7              6              
Name2157       Surname2157    1              8              1              3              2              2              9              
Name2158       Surname2158    7              4              1              1              2              10             7              
Name2159       Surname2159    10             2              5              9              0              5              2              
Name2160       Surname2160    10             6              10             10             4              4              9              
Name2161       Surname2161    2              5              9              1              4              10             3              
Name2162       Surname2162    9              3              10             9              9              4              5              
Name2163       Surname2163    3              8              0              0              5              2              10             
Name2164       Surname2164    8              8              0              9              6              5              5              
Name2165       Surname2165    2              0              7              9              2              6              5              
Name2166       Surname2166    6              8              4              1              3              10             6              
Name2167       Surname2167    5              9              4              10             8              3              0              
Name2168       Surname2168    7              6              0              4              6              6              7              
Name2169       Surname2169    6              4              7              5              9              7              3              
Name2170       Surname2170    0              7              6              1              0              0              10             
Name2171       Surname2171    4              10             6              1              9              6              5              
Name2172       Surname2172    8              5              8              1              2              0              6              
Name2173       Surname2173    5              9              10             8              10             0              9              
Name2174       Surname2174    9              0              1              5              0              10             1              
Name2175       Surname2175    5              10             7              3              1              6              4              
Name2176       Surname2176    1              7              5              2              5              5              8              
Name2177       Surname2177    7              3              6              8              2              6              0              
Name2178       Surname2178    7              8              7              1              4              10             5              
Name2179       Surname2179    10             5              10             4              9              9              5              
Name2180       Surname2180    4              4              8              0              5              4              0              
Name2181       Surname2181    3              6              0              10             0              9              4              
Name2182       Surname2182    10             9              7              8              7              2              2              
Name2183       Surname2183    9              7              10             10             10             0              0              
Name2184       Surname2184    3              2              9              0              2              10             2              
Name2185       Surname2185    5              8              0              5              6              9              8              
Name2186       Surname2186    9              6              6              10             0              1              2              
Name2187       Surname2187    8              6              3              9              4              1              3              
Name2188       Surname2188    5              9              10             10             3              1              5              
Name2189       Surname2189    7              0              3              3              2              2              7              
Name2190       Surname2190    1              7              10             2              5              5              5              
Name2191       Surname2191    7              9              5              3              0              3              10             
Name2192       Surname2192    9              8              1              10             6              3              4              
Name2193       Surname2193    9              2              1              3              1              9              6              
Name2194       Surname2194    3              2              7              7              5              1              8              
Name2195       Surname2195    7              0              10             9              3              0              5              
Name2196       Surname2196    2              0              5              2              8              7              6              
Name2197       Surname2197    0              7              1              4              5              10             2              
Name2198       Surname2198    5              9              1              7              5              10             5              
Name2199       Surname2199    7              9              8              2              1              5              1              
Name2200       Surname2200    6              10             3              5              3              2              7              
Name2201       Surname2201    1              6              5              8              7              0              3              
Name2202       Surname2202    8              2              7              5              6              2              0              
Name2203       Surname2203    1              5              4              8              4              5              9              
Name2204       Surname2204    2              0              5              4              1              8              6              
Name2205       Surname2205    1              10             0              2              3              4              4              
Name2206       Surname2206    1              0              4              1              1              4              10             
Name2207       Surname2207    3              1              7              1              3              2              10             
Name2208       Surname2208    10             9              1              2              1              10             7              
Name2209       Surname2209    6              8              1              5              7              8              9              
Name2210       Surname2210    5              9              3              3              7              10             4              
Name2211       Surname2211    3              2              3              5              0              4              7              
Name2212       Surname2212    0              2              3              4              3              3              10             
Name2213       Surname2213    0              0              10             8              1              10             10             
Name2214       Surname2214    8              5              3              4              2              6              4              
Name2215       Surname2215    7              6              6              8              0              4              4              
Name2216       Surname2216    0              7              9              5              4              7              3              
Name2217       Surname2217    0              4              1              3              2              2              7              
Name2218       Surname2218    9              8              0              8              6              10             3              
Name2219       Surname2219    5              5              2              4              9              6              9              
Name2220       Surname2220    5              8              7              9              3              1              1              
Name2221       Surname2221    6              0              2              4              8              10             10             
Name2222       Surname2222    9              9              2              10             0              9              1              
Name2223       Surname2223    9              4              5              5              2              1              6              
Name2224       Surname2224    1              10             5              6              4              4              4              
Name2225       Surname2225    2              6              5              7              1              7              8              
Name2226       Surname2226    10             8              5              8              10             5              3              
Name2227       Surname2227    8              5              0              4              4              0              1              
Name2228       Surname2228    9              8              5              6              6              6              6              
Name2229       Surname2229    9              5              2              4              5              4              2              
Name2230       Surname2230    8              4              2              6              7              9              10             
Name2231       Surname2231    6              10             6              3              1              10             6              
Name2232       Surname2232    1              1              6              4              3              0              2              
Name2233       Surname2233    7              0              4              6              4              0              10             
Name2234       Surname2234    4              10             2              0              3              7              10             
Name2235       Surname2235    1              7              2              2              9              5              5              
Name2236       Surname2236    8              9              1              3              10             6              7              
Name2237       Surname2237    4              0              2              4              8              5              2              
Name2238       Surname2238    4              0              1              3              9              7              1              
Name2239       Surname2239    8              5              1              8              7              5              4              
Name2240       Surname2240    2              10             10             3              5              3              6              
Name2241       Surname2241    2              1              9              1              3              2              8              
Name2242       Surname2242    3              2              4              4              3              8              3              
Name2243       Surname2243    4              5              0              6              5              8              1              
Name2244       Surname2244    0              5              8              8              2              8              7              
Name2245       Surname2245    6              3              6              6              0              5              1              
Name2246       Surname2246    0              3              10             5              9              10             10             
Name2247       Surname2247    1              1              2              8              4              5              9              
Name2248       Surname2248    7              5              0              5              0              1              8              
Name2249       Surname2249    7              0              1              5              4              4              4              
Name2250       Surname2250    5              9              4              8              0              4              9              
Name2251       Surname2251    1              8              4              9              10             7              1              
Name2252       Surname2252    1              7              1              6              3              2              6              
Name2253       Surname2253    6              2              3              9              4              3              4              
Name2254       Surname2254    6              1              7              6              2              2              0              
Name2255       Surname2255    4              0              10             1              0              9              3              
Name2256       Surname2256    3              10             3              2              0              0              1              
Name2257       Surname2257    10             7              4              9              3              10             1              
Name2258       Surname2258    0              3              1              8              6              9              2              
Name2259       Surname2259    2              8              1              0              9              3              9              
Name2260       Surname2260    6              1              4              10             4              9              9              
Name2261       Surname2261    2              1              3              5              1              8              1              
Name2262       Surname2262    10             9              9              7              2              6              2              
Name2263       Surname2263    0              2              8              4              5              9              2              
Name2264       Surname2264    5              2              1              1              6              4              9              
Name2265       Surname2265    0              6              0              2              8              3              7              
Name2266       Surname2266    8              0              2              5              9              2              8              
Name2267       Surname2267    5              1              6              8              0              8              1              
Name2268       Surname2268    5              9              1              2              4              7              8              
Name2269       Surname2269    8              1              4              4              9              9              9              
Name2270       Surname2270    9              4              3              2              6              8              10             
Name2271       Surname2271    9              2              2              5              0              3              5              
Name2272       Surname2272    8              8              8              10             10             10             9              
Name2273       Surname2273    10             10             8              4              9              10             2              
Name2274       Surname2274    0              0              0              1              5              9              1              
Name2275       Surname2275    10             2              0              8              9              2              0              
Name2276       Surname2276    8              2              3              4              8              6              0              
Name2277       Surname2277    2              3              9              5              10             4              3              
Name2278       Surname2278    5              2              10             0              6              8              4              
Name2279       Surname2279    7              1              6              10             1              10             10             
Name2280       Surname2280    10             2              8              6              6              2              5              
Name2281       Surname2281    3              7              0              10             0              2              4              
Name2282       Surname2282    1              8              3              2              0              9              3              
Name2283       Surname2283    3              9              6              7              7              1              1              
Name2284       Surname2284    10             1              8              2              6              1              8              
Name2285       Surname2285    6              0              2              8              8              4              7              
Name2286       Surname2286    9              4              4              4              7              3              8              
Name2287       Surname2287    6              4              6              9              5              4              9              
Name2288       Surname2288    6              4              4              0              3              9              6              
Name2289       Surname2289    10             9              8              0              10             4              7              
Name2290       Surname2290    3              3              10             6              10             5              7              
Name2291       Surname2291    10             10             8              6              7              2              2              
Name2292       Surname2292    0              7              4              8              0              3              9              
Name2293       Surname2293    6              5              0              1              5              1              7              
Name2294       Surname2294    9              8              9              5              9              5              4              
Name2295       Surname2295    9              4              10             8              1              7              0              
Name2296       Surname2296    1              4              4              6              1              9              3              
Name2297       Surname2297    6              6              3              1              5              9              10             
Name2298       Surname2298    10             0              10             5              10             4              7              
Name2299       Surname2299    3              0              10             0              9              7              9              
Name2300       Surname2300    10             7              3              3              6              1              3              
Name2301       Surname2301    7              4              4              2              8              7              4              
Name2302       Surname2302    9              0              10             9              5              0              7              
Name2303       Surname2303    2              4              10             4              8              4              10             
Name2304       Surname2304    1              3              9              0              2              1              1              
Name2305       Surname2305    3              2              3              6              10             4              7              
Name2306       Surname2306    0              2              0              7              2              5              4              
Name2307       Surname2307    5              10             4              10             10             3              10             
Name2308       Surname2308    6              8              3              0              1              10             3              
Name2309       Surname2309    5              8              7              4              2              5              10             
Name2310       Surname2310    2              2              9              8              3              5              2              
Name2311       Surname2311    6              8              3              10             4              6              7              
Name2312       Surname2312    5              10             6              3              7              2              9              
Name2313       Surname2313    7              3              8              6              8              7              1              
Name2314       Surname2314    1              9              10             5              6              2              3              
Name2315       Surname2315    2              0              3              2              10             1              8              
Name2316       Surname2316    6              9              2              6              3              9              1              
Name2317       Surname2317    5              7              9              2              2              5              0              
Name2318       Surname2318    8              10             7              2              2              1              0              
Name2319       Surname2319    9              5              7              5              5              4              2              
Name2320       Surname2320    6              4              6              1              0              10             7              
Name2321       Surname2321    8              0              5              3              3              2              7              
Name2322       Surname2322    2              10             1              3              10             7              10             
Name2323       Surname2323    1              3              7              8              7              8              1              
Name2324       Surname2324    3              8              7              0              7              1              6              
Name2325       Surname2325    5              3              1              7              8              9              9              
Name2326       Surname2326    10             3              2              10             6              4              3              
Name2327       Surname2327    1              1              6              1              1              0              9              
Name2328       Surname2328    5              2              10             1              10             10             2              
Name2329       Surname2329    10             2              5              1              5              7              1              
Name2330       Surname2330    6              0              7              2              10             1              8              
Name2331       Surname2331    2              9              7              6              6              0              5              
Name2332       Surname2332    10             9              8              9              6              7              8              
Name2333       Surname2333    3              0              5              9              10             5              9              
Name2334       Surname2334    2              9              2              10             8              3              9              
Name2335       Surname2335    10             9              0              10             1              4              2              
Name2336       Surname2336    1              7              2              10             0              10             9              
Name2337       Surname2337    7              6              9              2              2              1              10             
Name2338       Surname2338    5              0              8              0              4              10             3              
Name2339       Surname2339    4              4              8              6              8              2              0              
Name2340       Surname2340    10             6              6              10             8              8              2              
Name2341       Surname2341    9              4              4              1              0              9              5              
Name2342       Surname2342    8              2              1              2              9              2              6              
Name2343       Surname2343    0              7              10             2              0              4              3              
Name2344       Surname2344    3              6              3              2              10             8              5              
Name2345       Surname2345    4              10             6              3              5              9              5              
Name2346       Surname2346    7              8              3              3              1              10             6              
Name2347       Surname2347    9              3              4              10             0              1              8              
Name2348       Surname2348    5              3              10             9              4              4              6              
Name2349       Surname2349    1              5              10             10             5              7              7              
Name2350       Surname2350    7              6              6              5              5              3              6              
Name2351       Surname2351    8              4              9              10             6              4              3              
Name2352       Surname2352    8              3              4              6              8              0              3              
Name2353       Surname2353    3              4              6              6              3              10             8              
Name2354       Surname2354    10             7              3              1              1              7              5              
Name2355       Surname2355    0              8              5              7              2              1              2              
Name2356       Surname2356    6              5              2              1              4              7              4              
Name2357       Surname2357    4              7              1              3              7              10             9              
Name2358       Surname2358    8              1              0              0              10             8              3              
Name2359       Surname2359    3              9              3              8              1              3              6              
Name2360       Surname2360    3              4              10             5              2              5              8              
Name2361       Surname2361    5              10             8              4              2              10             0              
Name2362       Surname2362    2              5              0              7              3              8              3              
Name2363       Surname2363    7              4              10             3              4              0              9              
Name2364       Surname2364    0              6              3              7              8              0              1              
Name2365       Surname2365    0              6              0              1              4              9              8              
Name2366       Surname2366    9              10             5              8              4              9              2              
Name2367       Surname2367    3              0              7              4              0              8              1              
Name2368       Surname2368    6              3              7              9              5              10             10             
Name2369       Surname2369    8              10             4              1              1              3              8              
Name2370       Surname2370    9              3              2              8              9              7              2              
Name2371       Surname2371    4              9              3              5              9              2              4              
Name2372       Surname2372    4              4              1              7              3              8              7              
Name2373       Surname2373    7              6              5              1              9              3              7              
Name2374       Surname2374    8              0              6              6              7              4              8              
Name2375       Surname2375    5              7              0              2              4              4              8              
Name2376       Surname2376    10             5              4              8              1              6              5              
Name2377       Surname2377    2              9              10             8              7              0              2              
Name2378       Surname2378    9              10             9              4              1              1              1              
Name2379       Surname2379    1              9              10             0              5              9              1              
Name2380       Surname2380    6              1              9              8              8              2              2              
Name2381       Surname2381    2              6              3              8              10             4              1              
Name2382       Surname2382    5              4              4              6              7              10             5              
Name2383       Surname2383    3              8              5              1              1              9              0              
Name2384       Surname2384    10             7              4              8              6              8              10             
Name2385       Surname2385    2              10             8              0              0              0              10             
Name2386       Surname2386    6              5              7              8              0              10             7              
Name2387       Surname2387    3              2              8              2              5              7              3              
Name2388       Surname2388    9              7              7              0              9              4              8              
Name2389       Surname2389    6              6              10             0              4              0              1              
Name2390       Surname2390    2              3              6              4              4              1              2              
Name2391       Surname2391    8              10             7              5              4              8              2              
Name2392       Surname2392    10             10             9              9              4              8              2              
Name2393       Surname2393    7              1              9              3              5              9              1              
Name2394       Surname2394    4              5              2              6              8              2              6              
Name2395       Surname2395    7              8              4              6              0              1              9              
Name2396       Surname2396    10             7              6              4              3              2              9              
Name2397       Surname2397    1              2              10             5              5              3              5              
Name2398       Surname2398    3              3              1              6              2              5              2              
Name2399       Surname2399    9              9              9              5              2              9              3              
Name2400       Surname2400    6              9              6              7              1              6              7              
Name2401       Surname2401    8              2              9              7              4              9              7              
Name2402       Surname2402    10             2              8              5              0              6              8              
Name2403       Surname2403    3              5              3              4              4              0              1              
Name2404       Surname2404    8              1              7              4              3              4              10             
Name2405       Surname2405    5              1              7              10             5              1              7              
Name2406       Surname2406    5              5              8              10             1              2              3              
Name2407       Surname2407    5              1              2              7              8              10             4              
Name2408       Surname2408    7              4              2              5              0              5              1              
Name2409       Surname2409    9              3              5              10             2              3              8              
Name2410       Surname2410    3              0              7              9              9              7              7              
Name2411       Surname2411    6              4              0              6              10             6              7              
Name2412       Surname2412    7              4              3              2              5              10             6              
Name2413       Surname2413    7              0              10             0              0              10             0              
Name2414       Surname2414    0              2              8              6              1              4              3              
Name2415       Surname2415    6              7              9              1              1              10             1              
Name2416       Surname2416    7              2              9              5              5              4              0              
Name2417       Surname2417    1              1              3              8              6              5              9              
Name2418       Surname2418    10             10             1              10             6              5              1              
Name2419       Surname2419    7              1              9              7              4              3              10             
Name2420       Surname2420    3              10             8              0              2              1              7              
Name2421       Surname2421    5              0              3              8              8              3              2              
Name2422       Surname2422    8              4              2              3              4              10             4              
Name2423       Surname2423    5              5              1              10             0              2              5              
Name2424       Surname2424    7              0              2              10             8              9              7              
Name2425       Surname2425    9              6              3              0              0              8              9              
Name2426       Surname2426    2              4              1              5              7              10             3              
Name2427       Surname2427    1              6              9              8              3              10             1              
Name2428       Surname2428    8              7              9              7              9              3              5              
Name2429       Surname2429    8              9              6              5              3              5              2              
